Return Age group R1_2,,,,,Return Age group R1_3,,,,,Return Age group R2_2,,,,,Return Age group R2_3,,,,
,Year,Return,Forecast,MAPE,,Year,Return,Forecast,MAPE,,Year,Return,Forecast,MAPE,,Year,Return,Forecast,MAPE
6,2013,"57,024","71,009",,6,2012," 7,896 "," 26,342 ",,6,2012," 2,068 "," 4,530 ",,6,2011, 957 ," 1,521 ",0.589
7,2014,"77,992","70,676",,7,2013," 10,598 "," 25,892 ",,7,2013," 5,576 "," 2,980 ",,7,2012, 445 ," 1,280 ",1.876
8,2015,"80,197","60,811",,8,2014," 2,614 "," 25,528 ",,8,2014," 3,205 "," 4,611 ",,8,2013, -   , 922 ,
9,2016,"57,943","66,559",,9,2015," 7,946 "," 24,995 ",,9,2015," 3,644 "," 3,729 ",,9,2014, 294 , 526 ,0.789
10,2017,"89,725","63,994",,10,2016," 12,450 "," 24,608 ",,10,2016," 16,013 "," 3,676 ",,10,2015, 607 , 426 ,0.298
11,2018,NA,"71,606",,11,2017, NA ," 24,337 ",,11,2017, NA ," 11,399 ",,11,2016, NA , 504 ,3.026
,,,,,,,,,,,,,,,,,,,
moving average,,,,,moving average,,,,,Moving average,,,,,moving average,,,,
1,2008,"16,365","81,441",,1,2007," 8,500 "," 31,255 ",,1,2007, 974 ," 15,409 ",,1,2006, 906 ," 7,869 ",7.685
2,2009,"17,431","82,755",,2,2008," 3,221 "," 30,347 ",,2,2008, 177 ," 13,115 ",,2,2007, 234 ," 6,292 ",25.889
3,2010,"46,063","69,690",,3,2009," 6,704 "," 27,213 ",,3,2009," 3,777 ", 177 ,,3,2008," 1,301 ", 570 ,0.562
4,2011,"93,528","62,601",,4,2010," 18,068 "," 26,674 ",,4,2010," 4,181 "," 3,777 ",,4,2009," 1,685 ", 768 ,0.545
5,2012,"33,829","52,109",,5,2011," 22,007 "," 26,453 ",,5,2011," 4,938 "," 4,181 ",,5,2010," 1,128 "," 1,493 ",0.324
6,2013,"57,024","41,443",,6,2012," 7,896 "," 26,342 ",,6,2012," 2,068 "," 4,938 ",,6,2011, 957 ," 1,407 ",0.470
7,2014,"77,992","49,575",,7,2013," 10,598 "," 25,892 ",,7,2013," 5,576 "," 2,068 ",,7,2012, 445 ," 1,043 ",1.343
8,2015,"80,197","61,687",,8,2014," 2,614 "," 25,528 ",,8,2014," 3,205 "," 5,576 ",,8,2013, -   , 701 ,
9,2016,"57,943","68,514",,9,2015," 7,946 "," 25,471 ",,9,2015," 3,644 "," 3,205 ",,9,2014, 294 , 223 ,0.243
10,2017,"89,725","61,397",,10,2016," 12,450 "," 25,063 ",,10,2016," 16,013 "," 3,644 ",,10,2015, 607 , 147 ,0.758
11,2018,NA,"72,576",,11,2017, NA ," 10,000 ",,11,2017, NA ," 16,013 ",,11,2016, NA , 451 ,4.202
,,,,,,,,,,,,,,,,,,,
"> accuracy(sibling$pred, sibling$R1_2)",,,,,"accuracy(sibling$pred, sibling$R2_2)",,,,,"accuracy(sibling$pred, sibling$R2_2)",,,,,"accuracy(sibling$pred, sibling$R2_3)",,,,
                ME     RMSE      MAE       MPE     MAPE,,,,,                ME     RMSE      MAE       MPE     MAPE,,,,,                ME    RMSE      MAE       MPE   MAPE,,,,,               ME     RMSE      MAE  MPE MAPE,,,,
Test set -1290.519 25592.58 19845.48 -9.733381 43.28741,,,,,Test set -871.0722 4031.959 2918.955 -294.5773 311.2718,,,,,Test set -1242.024 3230.09 2548.003 -295.8291 310.02,,,,,Test set 845.2697 2376.098 1259.746 -Inf  Inf,,,,
"> accuracy(sibling2$pred, sibling2$R1_2)",,,,,"> accuracy(sibling2$pred, sibling2$R2_2)",,,,,"> accuracy(sibling2$pred, sibling2$R2_2)",,,,,"> accuracy(sibling2$pred, sibling2$R2_3)",,,,
                ME     RMSE      MAE       MPE     MAPE,,,,,                ME     RMSE      MAE       MPE     MAPE,,,,,                ME    RMSE     MAE       MPE     MAPE,,,,,                ME     RMSE      MAE  MPE MAPE,,,,
Test set -17344.27 33748.17 23513.13 -59.93492 67.30092,,,,,Test set -4454.453 5973.571 5756.158 -618.9679 627.0969,,,,,Test set -4809.991 5685.03 5400.62 -620.6636 625.4012,,,,,Test set -496.2424 1659.845 1251.697 -Inf  Inf,,,,
"> accuracy(exsmooth$forecast.point, exsmooth$R1_2)",,,,,"> accuracy(exsmooth$forecast.point, exsmooth$R2_2)",,,,,"> accuracy(exsmooth$forecast.point, exsmooth$R2_2)",,,,,"> accuracy(exsmooth$forecast.point, exsmooth$R2_3)",,,,
                ME     RMSE      MAE       MPE     MAPE,,,,,                ME     RMSE      MAE       MPE     MAPE,,,,,                ME     RMSE      MAE       MPE     MAPE,,,,,                ME     RMSE      MAE  MPE MAPE,,,,
Test set -12696.99 32523.53 27612.26 -80.33839 97.51973,,,,,Test set -522.2087 6282.991 4213.513 -478.4393 519.9645,,,,,Test set -2230.504 5662.717 3943.513 -317.2553 355.8189,,,,,Test set -443.5419 3770.289 2356.483 -Inf  Inf,,,,
"> accuracy(ma$forecast.point, ma$R1_2)",,,,,"> accuracy(ma$forecast.point, ma$R2_2)",,,,,"> accuracy(ma$forecast.point, ma$R2_2)",,,,,"> accuracy(ma$forecast.point, ma$R2_3)",,,,
               ME    RMSE      MAE       MPE     MAPE,,,,,                ME     RMSE      MAE       MPE     MAPE,,,,,                ME     RMSE      MAE       MPE    MAPE,,,,,             ME     RMSE    MAE  MPE MAPE,,,,
Test set -6111.54 35578.2 30464.02 -74.45054 104.7462,,,,,Test set -1153.733 7541.985 5369.133 -873.2076 927.7095,,,,,Test set -3734.433 7722.714 5476.033 -891.7108 930.764,,,,,Test set -376.5 4252.461 2650.2 -Inf  Inf,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,>,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
